id,label,asin,title,average_rating,rating_number,price,color,dimensions,weight,model_number,date_first_available,screen_size,display_resolution,form_factor,operating_system,display_technology,model_name,ram_gb,storage_gb
product_B00YFH849I,zte prelude 2 z667g smartphone (cricket) -black,B00YFH849I,zte prelude 2 z667g smartphone (cricket) -black,4.2,4,,black,,4 ounces,,"may 28, 2015",3.5 inches,,smartphone,,,,,
product_B08H5SZKC9,t-mobile revvlry+ plus 64gb moto xt1965-t t-mobile smartphone (renewed),B08H5SZKC9,t-mobile revvlry+ plus 64gb moto xt1965-t t-mobile smartphone (renewed),4.1,271,99.99,black,6 x 4 x 2 inches,14.9 ounces,,"september 1, 2020",6.2 inches,1080 x 2270,smartphone,,lcd,revvlry+,,64.0
product_B08MTQ3FQJ,unlocked google pixel 5 128gb just black ga01316-us (renewed),B08MTQ3FQJ,unlocked google pixel 5 128gb just black ga01316-us (renewed),4.0,1577,156.56,just black,5.69 x 2.77 x 0.3 inches,5.3 ounces,gd1yq,"november 5, 2020",6 inches,,smartphone,android 11.0,oled,pixel 5,8.0,128.0
product_B085S45ZZS,"xiaomi redmi note 9s 6.67"" 48mp international global version (aurora blue, 6gb/128gb)",B085S45ZZS,"xiaomi redmi note 9s 6.67"" 48mp international global version (aurora blue, 6gb/128gb)",4.4,7409,,aurora blue,2.99 x 0.31 x 6.5 inches,0.7 ounces,27283,"april 15, 2020",6.67 inches,,smartphone,android 4.1,,"xiaomi redmi note 9s 6.67"" 48mp international global version (aurora blue, 6gb/128gb)",6.0,6.0
product_B09XWZYY6D,realme gt 2 pro 5g dual 256gb 12gb ram factory unlocked (gsm only | no cdma - not compatible with verizon/sprint) - paper green,B09XWZYY6D,realme gt 2 pro 5g dual 256gb 12gb ram factory unlocked (gsm only | no cdma - not compatible with verizon/sprint) - paper green,4.2,17,579.0,green,6.5 x 3 x 0.4 inches,1 pounds,,"april 14, 2022",6.4 inches,,smartphone,android,,gt 2 pro,,256.0
product_B00LO7OKV8,unlocked huawei g615 android 4.3 smartphone qualcomm msm8212 quad core 5.0inch ips qhd screen 1gb ram 4gb rom 3g dual sim (white),B00LO7OKV8,unlocked huawei g615 android 4.3 smartphone qualcomm msm8212 quad core 5.0inch ips qhd screen 1gb ram 4gb rom 3g dual sim (white),4.5,2,,white,,,,"july 10, 2014",5 inches,2560 x 1440,smartphone,"android os, v4.0 (ice cream sandwich)",lcd,g615,,4.0
product_B092GMLVPQ,"moto g 5g 2021 (128gb, 6gb) 6.7"", snapdragon 750, 5000mah, dual sim gsm unlocked euro 5g only/global 4g lte (t-mobile, at&t, metro) international model xt2113-3 (gray) (renewed)",B092GMLVPQ,"moto g 5g 2021 (128gb, 6gb) 6.7"", snapdragon 750, 5000mah, dual sim gsm unlocked euro 5g only/global 4g lte (t-mobile, at&t, metro) international model xt2113-3 (gray) (renewed)",4.2,138,179.0,gray,6.54 x 3 x 0.39 inches,7.5 ounces,xt2113-2,"april 13, 2021",6.7 inches,,,,,moto g,6.0,128.0
product_B099H7SHY2,"samsung galaxy m12 (sm-m127f/ds) dual sim 64gb/ 4gb ram, 6.5” gsm unlocked international version - no warranty - light blue",B099H7SHY2,"samsung galaxy m12 (sm-m127f/ds) dual sim 64gb/ 4gb ram, 6.5” gsm unlocked international version - no warranty - light blue",4.3,3,,light blue,,14 ounces,,"july 14, 2021",6.5 inches,,slate,,,m12,,64.0
product_B09KWKY7HV,microsoft surface duo 2 5g 128gb (unlocked) - obsidian,B09KWKY7HV,microsoft surface duo 2 5g 128gb (unlocked) - obsidian,3.9,45,,,4.26 x 6.42 x 1.79 inches,1.16 pounds,hz1-00006,"september 22, 2021",5.8 inches,,,tbc,,surface duo 2,,128.0
product_B099ZFQQ3S,"cubot kingkong 7 rugged phone unlocked, outdoor smartphone unlocked with 64mp camera, 5000 mah battery, 6.36''hd display, 8gb/128 gb (256gb extension), dual sim (black+gold)",B099ZFQQ3S,"cubot kingkong 7 rugged phone unlocked, outdoor smartphone unlocked with 64mp camera, 5000 mah battery, 6.36''hd display, 8gb/128 gb (256gb extension), dual sim (black+gold)",3.8,59,,black,6.1 x 2.91 x 0.39 inches,9.4 ounces,cubot kingkong 7,"august 16, 2021",6.36 inches,1920 x 1080,bar,,,kingkong 7,8.0,128.0
product_B07Y2HSBLM,"oneplus 7 pro gsm unlocked gm1915 8gb+256gb nebula blue (att, t-mobile) (renewed)",B07Y2HSBLM,"oneplus 7 pro gsm unlocked gm1915 8gb+256gb nebula blue (att, t-mobile) (renewed)",4.2,147,278.85,nebula blue,,13.8 ounces,,"october 3, 2019",6.67 inches,1440 x 3120,,,amoled,,,256.0
product_B07BBRCH91,"honor view10 gsm unlocked smartphone, ai processor, 5.99” fullview display, 20mp + 16mp dual-lens ai camera, dual sim 4g, fast charging, 6/128 gb, blue (us warranty)",B07BBRCH91,"honor view10 gsm unlocked smartphone, ai processor, 5.99” fullview display, 20mp + 16mp dual-lens ai camera, dual sim 4g, fast charging, 6/128 gb, blue (us warranty)",4.2,212,360.19,blue,6.18 x 2.95 x 0.28 inches,14.1 ounces,51092hrf,"march 27, 2018",5.99 inches,1080 x 2160 pixels,smartphone,android 8.1,,honor view10,,128.0
product_B088Q1M89X,"samsung galaxy z flip sm-f700u1 factory unlocked (att, tmobile, verizon, sprint) - (mirror black) (renewed)",B088Q1M89X,"samsung galaxy z flip sm-f700u1 factory unlocked (att, tmobile, verizon, sprint) - (mirror black) (renewed)",4.0,122,,mirror black,7 x 4 x 5 inches,12.8 ounces,samsung galaxy z flip,"may 16, 2020",6.7 inches,,slate,,"led, amoled",,8.0,8.0
product_B092DYQ1GN,samsung galaxy a72 a725f-ds 4g dual 256gb 8gb ram factory unlocked (gsm only | no cdma - not compatible with verizon/sprint) international version - awesome blue,B092DYQ1GN,samsung galaxy a72 a725f-ds 4g dual 256gb 8gb ram factory unlocked (gsm only | no cdma - not compatible with verizon/sprint) international version - awesome blue,4.4,50,,blue,6.5 x 3.05 x 0.33 inches,7.2 ounces,a72,"april 23, 2021",6.7 inches,1080 x 2400,slate,android 11.0,amoled,a725m,8.0,256.0
product_B00QVTP9V4,blu studio 5.0c hd d534l unlocked 4g (white),B00QVTP9V4,blu studio 5.0c hd d534l unlocked 4g (white),2.4,2,,,4.33 x 3.15 x 4.33 inches,14.1 ounces,,"march 16, 2015",,,,,,,,
product_B07JDFM9Z7,blu c4 c050u 3g unlocked gsm dual-sim w/ 5mp front and rear camera's - black,B07JDFM9Z7,blu c4 c050u 3g unlocked gsm dual-sim w/ 5mp front and rear camera's - black,3.8,65,,black,6 x 8 x 2 inches,8.5 ounces,sg_b07jdfm9z7_us,"october 13, 2018",4 inches,,smartphone,,led,,512.0,8.0
product_B07QCCW5KB,"xiaomi redmi 7 32gb+3gb ram 6.26 hd+ lte factory unlocked gms smartphone (global version, no warranty) (eclipse black)",B07QCCW5KB,"xiaomi redmi 7 32gb+3gb ram 6.26 hd+ lte factory unlocked gms smartphone (global version, no warranty) (eclipse black)",4.6,249,,black,6.04 x 2.83 x 0.33 inches,6.1 ounces,m1906f9shb,"april 5, 2019",6.3 inches,720 x 1520,slate,,"lcd, led",redmi 7,,32.0
product_B09BR8T8HK,"rca reno 16gb, android 10, 4g lte unlocked smartphone (silver)",B09BR8T8HK,"rca reno 16gb, android 10, 4g lte unlocked smartphone (silver)",3.2,47,49.99,silver,,4.9 ounces,,"august 3, 2021",5 inches,,smartphone,android 10.0,"lcd, led",rca reno,,16.0
product_B08H5SNLML,"samsung galaxy s10+ plus (128gb, 8gb) 6.4"" amoled, snapdragon 855, ip68 water resistant, global 4g lte (gsm + cdma) t-mobile unlocked (at&t, verizon, sprint, metro) g975u (prism blue) (renewed)",B08H5SNLML,"samsung galaxy s10+ plus (128gb, 8gb) 6.4"" amoled, snapdragon 855, ip68 water resistant, global 4g lte (gsm + cdma) t-mobile unlocked (at&t, verizon, sprint, metro) g975u (prism blue) (renewed)",4.4,262,212.99,prism blue,6 x 4 x 2 inches,0.141 ounces,,"september 1, 2020",6.4 inches,"2560 x 1440, 1440 x 3040",slate,,amoled,samsung galaxy s10+ plus,,128.0
product_B07TK4DVSH,"blu advance 5.2 hd - gsm unlocked smartphone, 16gb+1gb ram -blue",B07TK4DVSH,"blu advance 5.2 hd - gsm unlocked smartphone, 16gb+1gb ram -blue",4.0,491,,,,5.6 ounces,bpi0001242-blu-01,"june 25, 2019",5.2 inches,,smartphone,android 8.1,,advance 5.2,1.0,16.0
product_B09GBGC21H,"ulefone unlocked smartphone, note 6 android phones unlocked, triple card slots, 5mp+2mp, 6.1"" ips full-screen, 3g dual sim cell phone unlocked, 32gb, 3300mah, face recognition, cheap phones - green",B09GBGC21H,"ulefone unlocked smartphone, note 6 android phones unlocked, triple card slots, 5mp+2mp, 6.1"" ips full-screen, 3g dual sim cell phone unlocked, 32gb, 3300mah, face recognition, cheap phones - green",3.3,1467,79.99,green,,0.141 ounces,ulefone note 6,"september 16, 2021",6.1 inches,,smartphone,android 11.0,lcd,ulefone note 6,,32.0
product_B085VVP9KR,"lg k50 (32gb, 3gb) 6.26"" hd+ display, mil-std 810g certified, us + global 4g lte gsm factory unlocked lm-x520hm - international model (blue, 32gb + 64gb sd bundle)",B085VVP9KR,"lg k50 (32gb, 3gb) 6.26"" hd+ display, mil-std 810g certified, us + global 4g lte gsm factory unlocked lm-x520hm - international model (blue, 32gb + 64gb sd bundle)",4.1,109,,blue,,13.6 ounces,lm-x520hm,"january 5, 2017",6.2 inches,720 x 1520,,android,lcd,k50,3.0,32.0
product_B08PNP57DQ,"apple iphone 12 pro 5g, us version, 512gb, graphite - unlocked (renewed)",B08PNP57DQ,"apple iphone 12 pro 5g, us version, 512gb, graphite - unlocked (renewed)",4.2,3646,620.0,graphite,,10.8 ounces,,"december 3, 2020",6.1 inches,,,,,apple iphone 12 pro,,512.0
product_B003JK6GIS,"htc droid incredible, black (verizon wireless)",B003JK6GIS,"htc droid incredible, black (verizon wireless)",3.5,190,,black,4.63 x 2.3 x 0.47 inches,4.6 ounces,droid incredible,"april 26, 2010",,480x800 pixels,candy_bar,,,,7.0,
product_B09LJ4C1S5,"xiaomi redmi note 10 pro 4g volte 128gb + 8gb factory unlocked 6.67"" quad camera night mode (not verizon sprint boost cricket) (w/fast car charger bundle) (glacier blue)",B09LJ4C1S5,"xiaomi redmi note 10 pro 4g volte 128gb + 8gb factory unlocked 6.67"" quad camera night mode (not verizon sprint boost cricket) (w/fast car charger bundle) (glacier blue)",4.3,220,269.77,glacier blue,3.01 x 0.32 x 6.46 inches,1.15 pounds,redmi note 10 pro,"september 14, 2021",6.67 inches,,smartphone,android,amoled,note 10 pro,8.0,128.0
product_B07JJZNP2S,zte mf275r 4g lte gsm unlocked home base wireless internet hotspot & phone base,B07JJZNP2S,zte mf275r 4g lte gsm unlocked home base wireless internet hotspot & phone base,3.6,42,,,,2 pounds,,"may 3, 2019",,,,,,mf275r,,
product_B08SMGQK9C,xiaomi redmi note 9t | 128gb 4gb ram | android 10 miui 12 | 5000 mah 18w fast charging | octa-core | gsm lte factory unlocked smartphone | international model (nightfall black),B08SMGQK9C,xiaomi redmi note 9t | 128gb 4gb ram | android 10 miui 12 | 5000 mah 18w fast charging | octa-core | gsm lte factory unlocked smartphone | international model (nightfall black),4.4,156,,nightfall black,6.37 x 3.04 x 0.36 inches,7 ounces,m2007j22g,"march 9, 2021",6.53 inches,1080 x 2340,smartphone,android 10.0,"lcd, led",redmi note 9t,4.0,4.0
product_B07ZRH89R2,"moto one macro (64gb, 4gb) 6.2"", macro vision camera (5x closer) dual sim gsm unlocked (at&t/t-mobile/metro/cricket) international model - xt2016-1 (space blue)",B07ZRH89R2,"moto one macro (64gb, 4gb) 6.2"", macro vision camera (5x closer) dual sim gsm unlocked (at&t/t-mobile/metro/cricket) international model - xt2016-1 (space blue)",4.1,189,,space blue,0.36 x 2.99 x 6.23 inches,6.6 ounces,pags0005in,"january 7, 2019",6.2 inches,720 x 1520,smartphone,,,macro,4.0,64.0
product_B00TKPOANO,blu studio 5.5k d710 unlocked gsm dual-sim android cell phone - white,B00TKPOANO,blu studio 5.5k d710 unlocked gsm dual-sim android cell phone - white,3.6,28,,,6.18 x 0.37 x 3.13 inches,6.5 ounces,,"february 13, 2015",,,smartphone,,"lcd, led",,,
product_B07WCCNV2D,"xiaomi redmi note 7 (64gb, 4gb ram) 6.3"" display, 48mp + 5mp ai dual rear camera, dual sim gsm factory unlocked - us & global 4g lte international model (moonlight white)",B07WCCNV2D,"xiaomi redmi note 7 (64gb, 4gb ram) 6.3"" display, 48mp + 5mp ai dual rear camera, dual sim gsm factory unlocked - us & global 4g lte international model (moonlight white)",4.4,79,,moonlight white,6.26 x 0.32 x 0.3 inches,9.9 ounces,note 7,"april 3, 2019",6.3 inches,,,,,,4.0,128.0
product_B00M9AC4TE,"5.5"" hd display unlocked smartphones android 4g gsm usa worldwide dual sim quad core - plum z550 - black",B00M9AC4TE,"5.5"" hd display unlocked smartphones android 4g gsm usa worldwide dual sim quad core - plum z550 - black",3.8,13,,grey,5.81 x 3.01 x 0.33 inches,4.8 ounces,z550blk,"july 30, 2014",,,smartphone,,,,,
product_B08JK8PL13,samsung galaxy s20 fe g780f 128gb 8gb ram dual sim gsm unlocked international version - cloud navy,B08JK8PL13,samsung galaxy s20 fe g780f 128gb 8gb ram dual sim gsm unlocked international version - cloud navy,4.3,11,,white,,15.5 ounces,sm-g780fzbgmea,"december 1, 2020",6.5 inches,,slate,,"amoled, led",s20 fe,8.0,128.0
product_B097HSXVZ5,"samsung electronics galaxy s21 5g g991u | android cell phone | us version 5g smartphone | pro-grade camera, 8k video, 64mp high res | 256gb, phantom gray - t-mobile locked - (renewed)",B097HSXVZ5,"samsung electronics galaxy s21 5g g991u | android cell phone | us version 5g smartphone | pro-grade camera, 8k video, 64mp high res | 256gb, phantom gray - t-mobile locked - (renewed)",3.9,31,254.0,phantom gray,6.7 x 3.4 x 2.44 inches,11.3 ounces,sm-g991u,"june 18, 2021",,,smartphone,android,,s21 5g,,256.0
product_B00359YJE6,"blu t200 deejay unlocked quad-band gsm phone with fm radio, mp3 player, flashlight and microsd slot - us warranty - green",B00359YJE6,"blu t200 deejay unlocked quad-band gsm phone with fm radio, mp3 player, flashlight and microsd slot - us warranty - green",3.5,34,,green,0.59 x 1.73 x 4.05 inches,2.88 ounces,t200 green,"november 19, 2010",,,bar,,lcd,,,
product_B093ZN78MR,"ciciglow smartphone,p20plus 5.0in 3g unlocked android smartphone 512mb + 4g 1400mah battery touching screen mobile phones for android os 4.4 system(black)",B093ZN78MR,"ciciglow smartphone,p20plus 5.0in 3g unlocked android smartphone 512mb + 4g 1400mah battery touching screen mobile phones for android os 4.4 system(black)",1.0,2,,black,0.39 x 0.39 x 0.39 inches,11 ounces,,"may 3, 2021",5 inches,,smartphone,,,p20plus,,512.0
product_B0006JLKUY,pcs phone lg pm-325 (sprint),B0006JLKUY,pcs phone lg pm-325 (sprint),3.0,41,,black,,,,"july 7, 1977",,,bar,,,,,
product_B0916GWVNQ,"samsung galaxy s20 ultra, 128gb, cosmic gray - fully unlocked (renewed)",B0916GWVNQ,"samsung galaxy s20 ultra, 128gb, cosmic gray - fully unlocked (renewed)",4.1,1386,277.0,cosmic gray,2.99 x 0.35 x 6.57 inches,7.7 ounces,sm-g988uzaaxaa,"may 17, 2020",6.9 inches,,bar,android,,galaxy s20 ultra,128.0,128.0
product_B09H2TT6TF,"ulefone note 6 2022 gsm unlocked phone, android 11 quad-core 1gb+32gb, triple card slots 6.1 inch waterdrop screen, dual sim unlocked cell phones, 5mp+2mp dual camera, 3300mah big battery smartphone",B09H2TT6TF,"ulefone note 6 2022 gsm unlocked phone, android 11 quad-core 1gb+32gb, triple card slots 6.1 inch waterdrop screen, dual sim unlocked cell phones, 5mp+2mp dual camera, 3300mah big battery smartphone",3.3,14,,note 6 purple,,14.1 ounces,ulefone note 6,"september 24, 2021",6.1 inches,,smartphone,android 11.0,,ulefone note 6,1.0,32.0
product_B07FK8M4Y8,motorola g6 32gb smartphone,B07FK8M4Y8,motorola g6 32gb smartphone,4.5,8,,black,6 x 4 x 1 inches,10 ounces,motxt192512,"december 4, 2018",5.7 inches,1920 x 1080,flip,android,,moto g6,,32.0
product_B07SZBMB9C,"asus zenfone 6 (zs630kl) 6.4 inchs with 8gb ram / 256gb storage, (gsm only, no cdma) factory unlocked international version no-warranty cell phone (midnight black)",B07SZBMB9C,"asus zenfone 6 (zs630kl) 6.4 inchs with 8gb ram / 256gb storage, (gsm only, no cdma) factory unlocked international version no-warranty cell phone (midnight black)",3.7,11,,midnight black,6.26 x 2.97 x 0.36 inches,6.7 ounces,zs630kl,"august 14, 2019",6.4 inches,1080 x 2340,smartphone,,lcd,zenfone 6,,256.0
product_B088VRCBXG,"samsung galaxy a01 (a015m), 4g lte, international version (no us warranty), 32gb, black - gsm unlocked",B088VRCBXG,"samsung galaxy a01 (a015m), 4g lte, international version (no us warranty), 32gb, black - gsm unlocked",4.3,2827,79.95,black,5.76 x 2.79 x 0.33 inches,5.3 ounces,sm-a015m/ds,"june 24, 2020",5.7 inches,720 x 1520,slate,android 10.0,lcd,a01 core,2.0,32.0
product_B01N1NNQ3V,kata selfie - 5.5-inch full hd ips octa core international unlocked smartphone android 6.0 - super slim full hd 1.3 ghz dual sim card 4g 13mp camera (white),B01N1NNQ3V,kata selfie - 5.5-inch full hd ips octa core international unlocked smartphone android 6.0 - super slim full hd 1.3 ghz dual sim card 4g 13mp camera (white),2.7,35,,white,6.09 x 3.07 x 0.33 inches,6 ounces,selfie,"december 1, 2016",5.5 inches,1920 x 1080 pixels,flip,,lcd,kata selfie,3.0,8.0
product_B09KLZPTSL,"blackview unlocked cell phones a80s 4gb+64gb rom,4g dual sim unlocked cell phones,android unlocked phones, 6.2"" hd+, fingerprint face detection mobile phones, 4200mah battery unlocked smartphones",B09KLZPTSL,"blackview unlocked cell phones a80s 4gb+64gb rom,4g dual sim unlocked cell phones,android unlocked phones, 6.2"" hd+, fingerprint face detection mobile phones, 4200mah battery unlocked smartphones",3.8,45,99.99,red,5.62 x 2.79 x 0.37 inches,12.6 ounces,,"october 28, 2021",6.2 inches,720 x 1520,smartphone,,,rr-usa80sblack,4.0,64.0
product_B07FDNZ646,yealink sip-t42g ultra-elegant gigabit 12-line ip phone (renewed),B07FDNZ646,yealink sip-t42g ultra-elegant gigabit 12-line ip phone (renewed),3.5,17,,black,10 x 9.5 x 4.5 inches,2.55 pounds,,"july 10, 2018",,,,,,,,
product_B000PAM40O,motorola razr v3xx platinum phone (at&t/cingular),B000PAM40O,motorola razr v3xx platinum phone (at&t/cingular),3.5,18,,silver,4.05 x 2.08 x 0.63 inches,3.84 ounces,v3xx,"march 30, 2007",,,,,,,,
product_B00GWFWOKG,huawei honor+ u8950d ascend g600 4.5-inch dual sim android 4.0 smartphone mobile phone -white,B00GWFWOKG,huawei honor+ u8950d ascend g600 4.5-inch dual sim android 4.0 smartphone mobile phone -white,3.7,19,,white,5.29 x 0.41 x 2.67 inches,4.9 ounces,,"november 25, 2013",4.5 inches,,smartphone,android 4.2,"lcd, led",,768.0,4.0
product_B073PKHGJB,blu r1 plus 16gb unlocked gsm lte quad-core phone w/ 13mp camera - black (certified refurbished),B073PKHGJB,blu r1 plus 16gb unlocked gsm lte quad-core phone w/ 13mp camera - black (certified refurbished),4.3,15,,black,6.02 x 0.41 x 3.02 inches,6.7 ounces,,"december 28, 2017",5.5 inches,,smartphone,,led,r1 plus,,16.0
product_B08QBRH9GP,samsung galaxy a51 sm-a516u 5g fully unlocked - 128gb - prism crush black - (renewed),B08QBRH9GP,samsung galaxy a51 sm-a516u 5g fully unlocked - 128gb - prism crush black - (renewed),3.9,152,189.99,prism crush black,7 x 4 x 5 inches,10.7 ounces,samsung galaxy a51 5g,"december 10, 2020",6.5 inches,,smartphone,,amoled,samsung galaxy a51,6.0,128.0
product_B0BDBGDY89,samsung galaxy s22+ 5g 256gb green-verizon (renewed),B0BDBGDY89,samsung galaxy s22+ 5g 256gb green-verizon (renewed),4.5,36,538.0,green,3.07 x 0.35 x 6.43 inches,,,"december 19, 2022",6.6 inches,,slate,,,galaxy s22+ 128gb,8.0,128.0
product_B07X7P4WGG,huawei g play mini chc-u01 gsm unlocked octa core 2gb ram 13mp (africa india europe digitel cuba asia) no warranty,B07X7P4WGG,huawei g play mini chc-u01 gsm unlocked octa core 2gb ram 13mp (africa india europe digitel cuba asia) no warranty,1.5,2,,gold,6.17 x 2.93 x 0.31 inches,5.7 ounces,,"july 25, 2019",5 inches,1280 x 720,,android 4.4,lcd,,2.0,8.0
product_B07GBX3Q3J,simple mobile motorola moto g6 4g lte prepaid smartphone with $50 truly unlimited airtime bundle,B07GBX3Q3J,simple mobile motorola moto g6 4g lte prepaid smartphone with $50 truly unlimited airtime bundle,4.1,35,,black,7.25 x 10 x 1.65 inches,12.8 ounces,smmtxt1925dgp5et5,"july 25, 2018",5.7 inches,1080 x 2160 pixels,smartphone,android 8.0,,moto g6,,32.0
product_B07G7VSVQN,kyocera cadence lte s2720 blue (verizon wireless prepaid),B07G7VSVQN,kyocera cadence lte s2720 blue (verizon wireless prepaid),3.8,163,209.99,blue,6 x 8 x 2 inches,4.6 ounces,s2720,"august 7, 2018",2.4 inches,,flip,,,,,16.0
product_B0758Z73T9,lg g stylo lte ms631 smartphone gsm unlocked (does not work with metropcs) - white - (certified refurbished),B0758Z73T9,lg g stylo lte ms631 smartphone gsm unlocked (does not work with metropcs) - white - (certified refurbished),3.9,67,,white,,12.5 ounces,ms631,"october 18, 2017",5.7 inches,,smartphone,,,g stylo,,
product_B088Y3BHP3,google pixel 3a 64gb t-mobile- just black (renewed),B088Y3BHP3,google pixel 3a 64gb t-mobile- just black (renewed),4.3,21,,black,,3.52 ounces,,"may 20, 2020",,,,,,pixel 3a,,64.0
product_B09ZCFW9SM,blu c5 max | 2022 | long lasting battery | unlocked | 5.7” hd+ display | 16gb | 5mp camera | us warranty (bronze),B09ZCFW9SM,blu c5 max | 2022 | long lasting battery | unlocked | 5.7” hd+ display | 16gb | 5mp camera | us warranty (bronze),3.3,278,,bronze,,11.1 ounces,c270eq,"may 2, 2022",5.7 inches,,,,,c5 max,,16.0
product_B08GGFMMCH,"oneplus 7t hd1907, 4g lte, us version, 128gb, frosted silver - gsm unlocked for t-mobile",B08GGFMMCH,"oneplus 7t hd1907, 4g lte, us version, 128gb, frosted silver - gsm unlocked for t-mobile",4.5,654,,frosted silver,6.34 x 2.93 x 0.32 inches,1.08 pounds,hd1907,"august 3, 2020",6.55 inches,,,,,,,128.0
product_B001HC3BY2,"pantech c610 phone, red (at&t)",B001HC3BY2,"pantech c610 phone, red (at&t)",3.8,8,,red,3.67 x 1.81 x 0.72 inches,0.15 pounds,c610 red,"october 3, 2008",,,flip,,,,,
product_B08D3ZKKPC,"oneplus 7 pro gm1925, 8gb ram + 256gb memory, sprint + gsm lte unlocked - nebula blue.",B08D3ZKKPC,"oneplus 7 pro gm1925, 8gb ram + 256gb memory, sprint + gsm lte unlocked - nebula blue.",4.5,455,,red,15.99 x 8.99 x 1 inches,12 ounces,7 pro 5g 256gb+8gb ram gm1925,"july 16, 2020",6.7 inches,1440 x 3120,slate,android 9.0,amoled,,8.0,256.0
product_B0773B1F78,zte zmax pro z981 32gb unlocked gsm phone w/ 13mp camera - black,B0773B1F78,zte zmax pro z981 32gb unlocked gsm phone w/ 13mp camera - black,3.7,46,,black,3.3 x 0.35 x 6.5 inches,6.7 ounces,,"november 1, 2017",6 inches,1920 x 1080,smartphone,,"lcd, led",z max pro,,32.0
product_B09D786HQ8,"uniwa 4g unlocked flip phone for seniors, dual screen big button basic phone for elderly, simple cell phone with sos button, hearing aid compatible, big volume, easy to use with charging dock(gray)",B09D786HQ8,"uniwa 4g unlocked flip phone for seniors, dual screen big button basic phone for elderly, simple cell phone with sos button, hearing aid compatible, big volume, easy to use with charging dock(gray)",3.1,117,,red,2.2 x 0.88 x 4.33 inches,9.9 ounces,,"august 20, 2021",2.8 inches,,foldable screen,rtos,,v909t red,48.0,48.0
product_B09FX81PJL,"red magic 6s pro gaming phone, 6.8"" screen, 64mp camera, 5g android smartphone, snapdragon 888+, 16gb ram+256gb rom, us version black",B09FX81PJL,"red magic 6s pro gaming phone, 6.8"" screen, 64mp camera, 5g android smartphone, snapdragon 888+, 16gb ram+256gb rom, us version black",4.6,29,,6s pro 256 black,6.65 x 3.04 x 0.37 inches,7.6 ounces,nx669-s,"september 27, 2021",6.8 inches,,smartphone,,amoled,nx669-s-2,16.0,256.0
product_B004DUMR90,"motorola ex115titu unlocked dual sim cell phone with qwerty keyboard, 3mp camera - no warranty - titanium",B004DUMR90,"motorola ex115titu unlocked dual sim cell phone with qwerty keyboard, 3mp camera - no warranty - titanium",3.1,33,,titanium,4.3 x 0.5 x 2.4 inches,3.52 ounces,ex115titu,"november 19, 2010",5.8 centimeters,,,,,,,32.0
product_B0B324T7SF,xiaomi 12 5g + 4g lte 256gb + 8gb snapdragon® 8 gen 1 global unlocked 50mp pro grade camera (not for verizon boost at&t cricket straight) + (w/fast car charger bundle) (gray),B0B324T7SF,xiaomi 12 5g + 4g lte 256gb + 8gb snapdragon® 8 gen 1 global unlocked 50mp pro grade camera (not for verizon boost at&t cricket straight) + (w/fast car charger bundle) (gray),4.3,272,500.0,gray,5.98 x 2.76 x 0.31 inches,6 ounces,,"june 2, 2022",,,smartphone,,,2201123g,8.0,256.0
product_B093CFHL3S,"samsung galaxy s21+ plus 5g g996u android cell phone | us version 5g smartphone | pro-grade camera, 8k video, 64mp high res | 128gb, at&t locked - (renewed)",B093CFHL3S,"samsung galaxy s21+ plus 5g g996u android cell phone | us version 5g smartphone | pro-grade camera, 8k video, 64mp high res | 128gb, at&t locked - (renewed)",3.9,45,277.19,phantom violet,6.7 x 3.4 x 2.44 inches,12.8 ounces,samsung galaxy s21+ 5g,"april 23, 2021",,,smartphone,android,,s21 plus 5g,,128.0
product_B07FWNFT8L,"blu vivo xi+ - 6.2” full hd+ display smartphone, 128gb+6gb ram, ai dual cameras -black",B07FWNFT8L,"blu vivo xi+ - 6.2” full hd+ display smartphone, 128gb+6gb ram, ai dual cameras -black",4.1,349,,black,6.1 x 0.3 x 2.9 inches,8 ounces,v0311ww black,"august 16, 2018",,1080x2246,smartphone,,,,6.0,
product_B07X5H3NJT,"oukitel k7 pro 10000mah big battery dual nano sim 4g unlocked cellphone, 4gb + 64gb android 9.0, mt6763 octa core, 5mp + 13mp camera 6''hd+ screen smartphone-black",B07X5H3NJT,"oukitel k7 pro 10000mah big battery dual nano sim 4g unlocked cellphone, 4gb + 64gb android 9.0, mt6763 octa core, 5mp + 13mp camera 6''hd+ screen smartphone-black",3.8,113,,black,6.61 x 3.07 x 0.57 inches,10.6 ounces,k7pro,"september 26, 2019",6 inches,,smartphone,android 9.0,,k7 pro,,64.0
product_B088W5KRDH,"lg k50 (32gb, 3gb) 6.26"" hd+ display, dual sim, mil-std 810g certified, us + global 4g lte gsm factory unlocked lm-x520bmw - international model (black)",B088W5KRDH,"lg k50 (32gb, 3gb) 6.26"" hd+ display, dual sim, mil-std 810g certified, us + global 4g lte gsm factory unlocked lm-x520bmw - international model (black)",4.3,109,,black,6 x 4 x 2 inches,13.1 ounces,,"may 19, 2020",6.3 inches,720 x 1520,,,lcd,k50,,32.0
