id,label,key,value,label,numeric_value,unit
spec_special_features_gsmcompatible,special features: gsm compatible,special_features,gsm compatible,special features,,
spec_phone_talk_time_32hours,phone talk time: 32 hours,phone_talk_time,32 hours,phone talk time,32.0,h
spec_package_dimensions_752x618x213inches,package dimensions: 7.52 x 6.18 x 2.13 inches,package_dimensions,7.52 x 6.18 x 2.13 inches,package dimensions,,
spec_best_sellers_rank_amazonrenewed4809climatepledgefriendlyelectronics3769,"best sellers rank: {'amazon renewed': 4809, 'climate pledge friendly: electronics': 3769}",best_sellers_rank,"{'amazon renewed': 4809, 'climate pledge friendly: electronics': 3769}",best sellers rank,,
spec_package_dimensions_709x469x256inches,package dimensions: 7.09 x 4.69 x 2.56 inches,package_dimensions,7.09 x 4.69 x 2.56 inches,package dimensions,,
spec_special_features_touchscreenbluetoothenabledvideocallingfastchargingsupportinternationallysourcedtextmessagingexpandablememoryfingerprintsensorbuiltingpswaterresistant,"special features: touchscreen, bluetooth enabled, video calling, fast charging support, internationally sourced, text/messaging, expandable memory, fingerprint sensor, built-in gps, water resistant",special_features,"touchscreen, bluetooth enabled, video calling, fast charging support, internationally sourced, text/messaging, expandable memory, fingerprint sensor, built-in gps, water resistant",special features,,
spec_package_dimensions_76x58x27inches,package dimensions: 7.6 x 5.8 x 2.7 inches,package_dimensions,7.6 x 5.8 x 2.7 inches,package dimensions,,
spec_other_camera_features_primary2mp1600x1200pixels,"other camera features: primary: 2 mp, 1600 x 1200 pixels",other_camera_features,"primary: 2 mp, 1600 x 1200 pixels",other camera features,,
spec_package_dimensions_591x287x063inches,package dimensions: 5.91 x 2.87 x 0.63 inches,package_dimensions,5.91 x 2.87 x 0.63 inches,package dimensions,,
spec_best_sellers_rank_amazonrenewed67172,best sellers rank: {'amazon renewed': 67172},best_sellers_rank,{'amazon renewed': 67172},best sellers rank,,
spec_best_sellers_rank_amazonrenewed74climatepledgefriendlyelectronics572,"best sellers rank: {'amazon renewed': 74, 'climate pledge friendly: electronics': 572}",best_sellers_rank,"{'amazon renewed': 74, 'climate pledge friendly: electronics': 572}",best sellers rank,,
spec_battery_power_rating_4323milliamphours,battery power rating: 4323 milliamp hours,battery_power_rating,4323 milliamp hours,battery power rating,,
spec_phone_standby_time_with_data_300hours,phone standby time (with data): 300 hours,phone_standby_time_with_data,300 hours,phone standby time (with data),300.0,h
spec_package_dimensions_724x587x146inches,package dimensions: 7.24 x 5.87 x 1.46 inches,package_dimensions,7.24 x 5.87 x 1.46 inches,package dimensions,,
spec_phone_talk_time_180minutes,phone talk time: 180 minutes,phone_talk_time,180 minutes,phone talk time,,
spec_weight_9965grams,weight: 99.65 grams,weight,99.65 grams,weight,99.65,g
spec_package_dimensions_972x937x201inches,package dimensions: 9.72 x 9.37 x 2.01 inches,package_dimensions,9.72 x 9.37 x 2.01 inches,package dimensions,,
spec_special_features_ruggedbody,special features: rugged body,special_features,rugged body,special features,,
spec_battery_power_rating_9800,battery power rating: 9800,battery_power_rating,9800,battery power rating,,
spec_special_features_bluetoothenabledbasicphonedualsimtextmessagingcamera,"special features: bluetooth enabled, basic phone, dual sim, text/messaging, camera",special_features,"bluetooth enabled, basic phone, dual sim, text/messaging, camera",special features,,
spec_special_features_fingerprintsensordualcameras,"special features: finger print sensor, dual camera's",special_features,"finger print sensor, dual camera's",special features,,
spec_phone_standby_time_with_data_400hours,phone standby time (with data): 400 hours,phone_standby_time_with_data,400 hours,phone standby time (with data),400.0,h
spec_other_camera_features_2mp1632x1224pixelsautofocusledflash,"other camera features: 2 mp, 1632 x 1224 pixels, autofocus, led flash",other_camera_features,"2 mp, 1632 x 1224 pixels, autofocus, led flash",other camera features,,
spec_package_dimensions_75x51x29inches136ounces,package dimensions: 7.5 x 5.1 x 2.9 inches; 13.6 ounces,package_dimensions,7.5 x 5.1 x 2.9 inches; 13.6 ounces,package dimensions,,
spec_package_dimensions_1071x642x421inches,package dimensions: 10.71 x 6.42 x 4.21 inches,package_dimensions,10.71 x 6.42 x 4.21 inches,package dimensions,,
spec_package_dimensions_748x394x213inches,package dimensions: 7.48 x 3.94 x 2.13 inches,package_dimensions,7.48 x 3.94 x 2.13 inches,package dimensions,,
spec_package_dimensions_713x394x193inches,package dimensions: 7.13 x 3.94 x 1.93 inches,package_dimensions,7.13 x 3.94 x 1.93 inches,package dimensions,,
spec_resolution_1440x3120,resolution: 1440 x 3120,resolution,1440 x 3120,resolution,,
spec_package_dimensions_677x323x177inches,package dimensions: 6.77 x 3.23 x 1.77 inches,package_dimensions,6.77 x 3.23 x 1.77 inches,package dimensions,,
spec_package_dimensions_693x441x252inches,package dimensions: 6.93 x 4.41 x 2.52 inches,package_dimensions,6.93 x 4.41 x 2.52 inches,package dimensions,,
spec_best_sellers_rank_climatepledgefriendly50886climatepledgefriendlyelectronics10560,"best sellers rank: {'climate pledge friendly': 50886, 'climate pledge friendly: electronics': 10560}",best_sellers_rank,"{'climate pledge friendly': 50886, 'climate pledge friendly: electronics': 10560}",best sellers rank,,
spec_material_temperedglass,material: tempered glass,material,tempered glass,material,,
spec_item_hardness_9h,item hardness: 9h,item_hardness,9h,item hardness,9.0,h
spec_compatible_phone_models_galaxys6samsunggalaxys6,"compatible phone models: galaxy s6, samsung galaxy s6",compatible_phone_models,"galaxy s6, samsung galaxy s6",compatible phone models,,
spec_finish_type_oilrubbed,finish type: oil rubbed,finish_type,oil rubbed,finish type,,
spec_screen_surface_description_smooth,screen surface description: smooth,screen_surface_description,smooth,screen surface description,,
spec_other_camera_features_3mp,other camera features: 3 mp,other_camera_features,3 mp,other camera features,3.0,mp
spec_phone_talk_time_300minutes,phone talk time: 300 minutes,phone_talk_time,300 minutes,phone talk time,,
spec_package_dimensions_799x378x213inches,package dimensions: 7.99 x 3.78 x 2.13 inches,package_dimensions,7.99 x 3.78 x 2.13 inches,package dimensions,,
spec_best_sellers_rank_amazonrenewed2640climatepledgefriendlyelectronics3011,"best sellers rank: {'amazon renewed': 2640, 'climate pledge friendly: electronics': 3011}",best_sellers_rank,"{'amazon renewed': 2640, 'climate pledge friendly: electronics': 3011}",best sellers rank,,
spec_package_dimensions_103x94x44inches,package dimensions: 10.3 x 9.4 x 4.4 inches,package_dimensions,10.3 x 9.4 x 4.4 inches,package dimensions,,
spec_best_sellers_rank_amazonrenewed4816climatepledgefriendlyelectronics3828,"best sellers rank: {'amazon renewed': 4816, 'climate pledge friendly: electronics': 3828}",best_sellers_rank,"{'amazon renewed': 4816, 'climate pledge friendly: electronics': 3828}",best sellers rank,,
spec_special_feature_tanglefreecordlightweightvolumecontrolmicrophonefeature,"special feature: tangle-free cord, lightweight, volume-control, microphone feature",special_feature,"tangle-free cord, lightweight, volume-control, microphone feature",special feature,,
spec_best_sellers_rank_amazonrenewed25137climatepledgefriendlyelectronics7990,"best sellers rank: {'amazon renewed': 25137, 'climate pledge friendly: electronics': 7990}",best_sellers_rank,"{'amazon renewed': 25137, 'climate pledge friendly: electronics': 7990}",best sellers rank,,
spec_ram_13gb,ram: 13 gb,ram,13 gb,ram,13.0,gb
spec_battery_power_rating_2920,battery power rating: 2920,battery_power_rating,2920,battery power rating,,
spec_package_dimensions_776x402x264inches,package dimensions: 7.76 x 4.02 x 2.64 inches,package_dimensions,7.76 x 4.02 x 2.64 inches,package dimensions,,
spec_ram_5gb,ram: 5 gb,ram,5 gb,ram,5.0,gb
spec_special_features_ruggedbodyfastchargingsupportdualsimbuiltingpswirelesscharging,"special features: rugged body, fast charging support, dual sim, built-in gps, wireless charging",special_features,"rugged body, fast charging support, dual sim, built-in gps, wireless charging",special features,,
spec_package_dimensions_689x374x197inches,package dimensions: 6.89 x 3.74 x 1.97 inches,package_dimensions,6.89 x 3.74 x 1.97 inches,package dimensions,,
spec_special_features_bluetoothenabledsmartphonedualcoreprocessorexpandablememorytouchscreencamera,"special features: bluetooth-enabled, smartphone, dual-core-processor, expandable-memory, touchscreen, camera",special_features,"bluetooth-enabled, smartphone, dual-core-processor, expandable-memory, touchscreen, camera",special features,,
spec_best_sellers_rank_amazonrenewed620climatepledgefriendlyelectronics1642,"best sellers rank: {'amazon renewed': 620, 'climate pledge friendly: electronics': 1642}",best_sellers_rank,"{'amazon renewed': 620, 'climate pledge friendly: electronics': 1642}",best sellers rank,,
spec_special_features_modelsamsunggalaxya2132gba215uthisitemisshippedinnonretailboxwithgenericchargerandusbcableonlynoanyotheraccessoriessuchasearphonessimcardsimcardremovaltoolorusermanualincluded,"special features: model: samsung galaxy a21 32gb a215u, this item is shipped in non-retail box with generic charger and usb cable only. no any other accessories (such as earphones, sim card, sim card removal tool or user manual) included.",special_features,"model: samsung galaxy a21 32gb a215u, this item is shipped in non-retail box with generic charger and usb cable only. no any other accessories (such as earphones, sim card, sim card removal tool or user manual) included.",special features,,
spec_special_features_dualsimoctacoreprocessorfingerprintsensorbuiltingpswaterresistant,"special features: dual sim, octa core processor, fingerprint sensor, built-in gps, water resistant",special_features,"dual sim, octa core processor, fingerprint sensor, built-in gps, water resistant",special features,,
spec_package_dimensions_744x37x173inches,package dimensions: 7.44 x 3.7 x 1.73 inches,package_dimensions,7.44 x 3.7 x 1.73 inches,package dimensions,,
spec_best_sellers_rank_amazonrenewed5062climatepledgefriendlyelectronics3862,"best sellers rank: {'amazon renewed': 5062, 'climate pledge friendly: electronics': 3862}",best_sellers_rank,"{'amazon renewed': 5062, 'climate pledge friendly: electronics': 3862}",best sellers rank,,
spec_package_dimensions_65x35x217inches,package dimensions: 6.5 x 3.5 x 2.17 inches,package_dimensions,6.5 x 3.5 x 2.17 inches,package dimensions,,
spec_battery_power_rating_8300,battery power rating: 8300,battery_power_rating,8300,battery power rating,,
spec_phone_talk_time_65hours,phone talk time: 65 hours,phone_talk_time,65 hours,phone talk time,65.0,h
spec_phone_standby_time_with_data_1000hours,phone standby time (with data): 1000 hours,phone_standby_time_with_data,1000 hours,phone standby time (with data),1000.0,h
spec_best_sellers_rank_amazonrenewed294climatepledgefriendlyelectronics1095,"best sellers rank: {'amazon renewed': 294, 'climate pledge friendly: electronics': 1095}",best_sellers_rank,"{'amazon renewed': 294, 'climate pledge friendly: electronics': 1095}",best sellers rank,,
spec_os_ios14,os: ios 14,os,ios 14,os,,
spec_battery_power_rating_2227,battery power rating: 2227,battery_power_rating,2227,battery power rating,,
spec_best_sellers_rank_amazonrenewed1290climatepledgefriendlyelectronics2230,"best sellers rank: {'amazon renewed': 1290, 'climate pledge friendly: electronics': 2230}",best_sellers_rank,"{'amazon renewed': 1290, 'climate pledge friendly: electronics': 2230}",best sellers rank,,
spec_os_android11oneuicore31,"os: android 11, one ui core 3.1",os,"android 11, one ui core 3.1",os,,
spec_special_features_dualsimbuiltingps,"special features: dual sim, built-in gps",special_features,"dual sim, built-in gps",special features,,
spec_special_features_glovesmodewaterproofcustomisedbuttonunderwatermodeshockproof,"special features: gloves mode, waterproof, customised button, underwater mode, shockproof",special_features,"gloves mode, waterproof, customised button, underwater mode, shockproof",special features,,
spec_other_camera_features_sony48mpmaincameracapturecrispandclearphotos,other camera features: sony 48mp main camera capture crisp and clear photos.,other_camera_features,sony 48mp main camera capture crisp and clear photos.,other camera features,,
spec_phone_talk_time_78hours,phone talk time: 78 hours,phone_talk_time,78 hours,phone talk time,78.0,h
spec_phone_standby_time_with_data_48days,phone standby time (with data): 48 days,phone_standby_time_with_data,48 days,phone standby time (with data),,
spec_package_dimensions_697x374x228inches,package dimensions: 6.97 x 3.74 x 2.28 inches,package_dimensions,6.97 x 3.74 x 2.28 inches,package dimensions,,
spec_package_dimensions_555x276x134inches,package dimensions: 5.55 x 2.76 x 1.34 inches,package_dimensions,5.55 x 2.76 x 1.34 inches,package dimensions,,
spec_battery_power_rating_1100,battery power rating: 1100,battery_power_rating,1100,battery power rating,,
spec_best_sellers_rank_amazonrenewed19953climatepledgefriendlyelectronics7160,"best sellers rank: {'amazon renewed': 19953, 'climate pledge friendly: electronics': 7160}",best_sellers_rank,"{'amazon renewed': 19953, 'climate pledge friendly: electronics': 7160}",best sellers rank,,
spec_package_dimensions_732x543x299inches,package dimensions: 7.32 x 5.43 x 2.99 inches,package_dimensions,7.32 x 5.43 x 2.99 inches,package dimensions,,
spec_gps_gpsenabled,gps: gps enabled,gps,gps enabled,gps,,
spec_package_dimensions_654x382x185inches,package dimensions: 6.54 x 3.82 x 1.85 inches,package_dimensions,6.54 x 3.82 x 1.85 inches,package dimensions,,
spec_battery_power_rating_3000milliamperehourmah,battery power rating: 3000 milliampere hour (mah),battery_power_rating,3000 milliampere hour (mah),battery power rating,,
spec_os_microsoftwindows,os: microsoft windows,os,microsoft windows,os,,
spec_special_features_internationallysourcedlte,"special features: internationally-sourced, lte",special_features,"internationally-sourced, lte",special features,,
spec_best_sellers_rank_amazonrenewed1238climatepledgefriendlyelectronics2193,"best sellers rank: {'amazon renewed': 1238, 'climate pledge friendly: electronics': 2193}",best_sellers_rank,"{'amazon renewed': 1238, 'climate pledge friendly: electronics': 2193}",best sellers rank,,
spec_package_dimensions_6x53x2inches,package dimensions: 6 x 5.3 x 2 inches,package_dimensions,6 x 5.3 x 2 inches,package dimensions,,
spec_other_camera_features_48mpmainrearcamera8mpfrontcamera5mpmacrolens03mpphotosensitivelens,other camera features: 48mp main rear camera+8mp front camera+5mp macro lens+0.3mp photosensitive lens,other_camera_features,48mp main rear camera+8mp front camera+5mp macro lens+0.3mp photosensitive lens,other camera features,,
spec_phone_talk_time_2days,phone talk time: 2 days,phone_talk_time,2 days,phone talk time,,
spec_package_dimensions_64x36x2inches,package dimensions: 6.4 x 3.6 x 2 inches,package_dimensions,6.4 x 3.6 x 2 inches,package dimensions,,
spec_human_interface_input_dialtouchscreen,"human interface input: dial, touchscreen",human_interface_input,"dial, touchscreen",human interface input,,
spec_battery_power_rating_2000milliamphours,battery power rating: 2000 milliamp hours,battery_power_rating,2000 milliamp hours,battery power rating,,
spec_battery_power_rating_950,battery power rating: 950,battery_power_rating,950,battery power rating,,
spec_other_camera_features_vgacamerawithledflash,other camera features: vga camera with led flash,other_camera_features,vga camera with led flash,other camera features,,
spec_weight_257ounces,weight: 2.57 ounces,weight,2.57 ounces,weight,2.57,oz
spec_package_dimensions_705x374x173inches,package dimensions: 7.05 x 3.74 x 1.73 inches,package_dimensions,7.05 x 3.74 x 1.73 inches,package dimensions,,
spec_battery_power_rating_24hours,battery power rating: 24 hours,battery_power_rating,24 hours,battery power rating,24.0,h
spec_best_sellers_rank_amazonrenewed67552,best sellers rank: {'amazon renewed': 67552},best_sellers_rank,{'amazon renewed': 67552},best sellers rank,,
spec_battery_power_rating_3500milliamperehourmah,battery power rating: 3500 milliampere hour (mah),battery_power_rating,3500 milliampere hour (mah),battery power rating,,
spec_special_features_dualsimdualcamerasmartphoneexpandablememory,"special features: dual-sim, dual-camera, smartphone, expandable-memory",special_features,"dual-sim, dual-camera, smartphone, expandable-memory",special features,,
spec_phone_standby_time_with_data_222hours,phone standby time (with data): 22.2 hours,phone_standby_time_with_data,22.2 hours,phone standby time (with data),22.2,h
spec_human_interface_input_touchscreenkeypadocr,"human interface input: touchscreen, keypad, ocr",human_interface_input,"touchscreen, keypad, ocr",human interface input,,
spec_phone_standby_time_with_data_178minutes,phone standby time (with data): 178 minutes,phone_standby_time_with_data,178 minutes,phone standby time (with data),,
spec_standing_screen_display_size_653inches,standing screen display size: 6.53 inches,standing_screen_display_size,6.53 inches,standing screen display size,6.53,inch
spec_standing_screen_display_size_4inches,standing screen display size: 4 inches,standing_screen_display_size,4 inches,standing screen display size,4.0,inch
spec_weight_024pounds,weight: 0.24 pounds,weight,0.24 pounds,weight,0.24,lb
spec_best_sellers_rank_climatepledgefriendly16907climatepledgefriendlyelectronics3876,"best sellers rank: {'climate pledge friendly': 16907, 'climate pledge friendly: electronics': 3876}",best_sellers_rank,"{'climate pledge friendly': 16907, 'climate pledge friendly: electronics': 3876}",best sellers rank,,
spec_standing_screen_display_size_68inches,standing screen display size: 6.8 inches,standing_screen_display_size,6.8 inches,standing screen display size,6.8,inch
spec_weight_180grams,weight: 180 grams,weight,180 grams,weight,180.0,g
spec_best_sellers_rank_amazonrenewed1027climatepledgefriendlyelectronics2042,"best sellers rank: {'amazon renewed': 1027, 'climate pledge friendly: electronics': 2042}",best_sellers_rank,"{'amazon renewed': 1027, 'climate pledge friendly: electronics': 2042}",best sellers rank,,
spec_standing_screen_display_size_62inches,standing screen display size: 6.2 inches,standing_screen_display_size,6.2 inches,standing screen display size,6.2,inch
spec_standing_screen_display_size_24inches,standing screen display size: 2.4 inches,standing_screen_display_size,2.4 inches,standing screen display size,2.4,inch
spec_weight_4ounces,weight: 4 ounces,weight,4 ounces,weight,4.0,oz
spec_standing_screen_display_size_19inches,standing screen display size: 1.9 inches,standing_screen_display_size,1.9 inches,standing screen display size,1.9,inch
spec_standing_screen_display_size_6inches,standing screen display size: 6 inches,standing_screen_display_size,6 inches,standing screen display size,6.0,inch
spec_weight_07pounds,weight: 0.7 pounds,weight,0.7 pounds,weight,0.7,lb
spec_theme_phone,theme: phone,theme,phone,theme,,
spec_style_pocket,style: pocket,style,pocket,style,,
spec_best_sellers_rank_amazonrenewed39682climatepledgefriendlyelectronics9686,"best sellers rank: {'amazon renewed': 39682, 'climate pledge friendly: electronics': 9686}",best_sellers_rank,"{'amazon renewed': 39682, 'climate pledge friendly: electronics': 9686}",best sellers rank,,
spec_weight_043pounds,weight: 0.43 pounds,weight,0.43 pounds,weight,0.43,lb
spec_standing_screen_display_size_65inches,standing screen display size: 6.5 inches,standing_screen_display_size,6.5 inches,standing screen display size,6.5,inch
spec_weight_093pounds,weight: 0.93 pounds,weight,0.93 pounds,weight,0.93,lb
spec_batteries_1aaabatteriesrequired,batteries: 1 aaa batteries required.,batteries,1 aaa batteries required.,batteries,,
spec_best_sellers_rank_amazonrenewed11254,best sellers rank: {'amazon renewed': 11254},best_sellers_rank,{'amazon renewed': 11254},best sellers rank,,
spec_number_of_batteries_1aaabatteriesrequired,number of batteries: 1 aaa batteries required.,number_of_batteries,1 aaa batteries required.,number of batteries,,
spec_item_dimensions_lxwxh_8x4x4inches,item dimensions lxwxh: 8 x 4 x 4 inches,item_dimensions_lxwxh,8 x 4 x 4 inches,item dimensions lxwxh,,
spec_phone_standby_time_400hours,phone standby time: 400 hours,phone_standby_time,400 hours,phone standby time,400.0,h
spec_package_dimensions_713x394x201inches,package dimensions: 7.13 x 3.94 x 2.01 inches,package_dimensions,7.13 x 3.94 x 2.01 inches,package dimensions,,
spec_other_camera_features_vgacamera640x480pixelswledflashvideo,other camera features: vga camera (640 x 480 pixels) w/ led flash + video,other_camera_features,vga camera (640 x 480 pixels) w/ led flash + video,other camera features,,
spec_memory_storage_capacity_24mb,memory storage capacity: 24 mb,memory_storage_capacity,24 mb,memory storage capacity,24.0,mb
spec_weight_04ounces,weight: 0.4 ounces,weight,0.4 ounces,weight,0.4,oz
spec_package_dimensions_54x3x2inches,package dimensions: 5.4 x 3 x 2 inches,package_dimensions,5.4 x 3 x 2 inches,package dimensions,,
spec_package_dimensions_665x335x193inches,package dimensions: 6.65 x 3.35 x 1.93 inches,package_dimensions,6.65 x 3.35 x 1.93 inches,package dimensions,,
spec_battery_capacity_3500milliamphours,battery capacity: 3500 milliamp hours,battery_capacity,3500 milliamp hours,battery capacity,,
spec_special_features_smartphonevideocallingdualsimtouchscreencamera,"special features: smartphone, video-calling, dual-sim, touchscreen, camera",special_features,"smartphone, video-calling, dual-sim, touchscreen, camera",special features,,
spec_standing_screen_display_size_47inches,standing screen display size: 4.7 inches,standing_screen_display_size,4.7 inches,standing screen display size,4.7,inch
spec_package_dimensions_913x854x165inches,package dimensions: 9.13 x 8.54 x 1.65 inches,package_dimensions,9.13 x 8.54 x 1.65 inches,package dimensions,,
spec_best_sellers_rank_amazonrenewed49328,best sellers rank: {'amazon renewed': 49328},best_sellers_rank,{'amazon renewed': 49328},best sellers rank,,
spec_standing_screen_display_size_8inches,standing screen display size: 8 inches,standing_screen_display_size,8 inches,standing screen display size,8.0,inch
spec_department_unlockedphones,department: unlocked phones,department,unlocked phones,department,,
spec_standing_screen_display_size_46inches,standing screen display size: 4.6 inches,standing_screen_display_size,4.6 inches,standing screen display size,4.6,inch
spec_weight_140kilograms,weight: 140 kilograms,weight,140 kilograms,weight,140.0,kg
spec_material_aluminum,material: aluminum,material,aluminum,material,,
spec_weight_33grams,weight: 33 grams,weight,33 grams,weight,33.0,g
spec_compatible_devices_smartphones,compatible devices: smartphones,compatible_devices,smartphones,compatible devices,,
spec_are_batteries_included_yes,are batteries included: yes,are_batteries_included,yes,are batteries included,,
spec_package_dimensions_823x76x181inches,package dimensions: 8.23 x 7.6 x 1.81 inches,package_dimensions,8.23 x 7.6 x 1.81 inches,package dimensions,,
spec_special_features_dualsimoctacoreprocessorfingerprintsensorwirelesschargingwaterresistant,"special features: dual sim, octa core processor, fingerprint sensor, wireless charging, water resistant",special_features,"dual sim, octa core processor, fingerprint sensor, wireless charging, water resistant",special features,,
spec_battery_power_rating_6000milliamperehourmah,battery power rating: 6000 milliampere hour (mah),battery_power_rating,6000 milliampere hour (mah),battery power rating,,
spec_phone_talk_time_28hours,phone talk time: 28 hours,phone_talk_time,28 hours,phone talk time,28.0,h
spec_phone_standby_time_with_data_18days,phone standby time (with data): 18 days,phone_standby_time_with_data,18 days,phone standby time (with data),,
spec_standing_screen_display_size_63inches,standing screen display size: 6.3 inches,standing_screen_display_size,6.3 inches,standing screen display size,6.3,inch
spec_battery_capacity_6000amphours,battery capacity: 6000 amp hours,battery_capacity,6000 amp hours,battery capacity,,
spec_weight_320grams,weight: 320 grams,weight,320 grams,weight,320.0,g
spec_charging_time_1hour,charging time: 1 hour,charging_time,1 hour,charging time,1.0,h
spec_standing_screen_display_size_57inches,standing screen display size: 5.7 inches,standing_screen_display_size,5.7 inches,standing screen display size,5.7,inch
spec_special_features_3rdgenerationmaven,special features: 3rd generation maven,special_features,3rd generation maven,special features,,
spec_standing_screen_display_size_5inches,standing screen display size: 5 inches,standing_screen_display_size,5 inches,standing screen display size,5.0,inch
spec_os_myos,os: myos,os,myos,os,,
spec_standing_screen_display_size_28inches,standing screen display size: 2.8 inches,standing_screen_display_size,2.8 inches,standing screen display size,2.8,inch
spec_weight_64ounces,weight: 6.4 ounces,weight,6.4 ounces,weight,6.4,oz
spec_package_dimensions_1091x689x413inches,package dimensions: 10.91 x 6.89 x 4.13 inches,package_dimensions,10.91 x 6.89 x 4.13 inches,package dimensions,,
spec_weight_075pounds,weight: 0.75 pounds,weight,0.75 pounds,weight,0.75,lb
spec_memory_storage_capacity_8192gb,memory storage capacity: 8192 gb,memory_storage_capacity,8192 gb,memory storage capacity,8192.0,gb
spec_standing_screen_display_size_3inches,standing screen display size: 3 inches,standing_screen_display_size,3 inches,standing screen display size,3.0,inch
spec_weight_105grams,weight: 105 grams,weight,105 grams,weight,105.0,g
spec_package_dimensions_197x157x118inches,package dimensions: 1.97 x 1.57 x 1.18 inches,package_dimensions,1.97 x 1.57 x 1.18 inches,package dimensions,,
spec_phone_talk_time_72hours,phone talk time: 72 hours,phone_talk_time,72 hours,phone talk time,72.0,h
spec_phone_standby_time_with_data_864hours,phone standby time (with data): 864 hours,phone_standby_time_with_data,864 hours,phone standby time (with data),864.0,h
spec_weight_02pounds,weight: 0.2 pounds,weight,0.2 pounds,weight,0.2,lb
spec_weight_103grams,weight: 103 grams,weight,103 grams,weight,103.0,g
spec_packaging_retailpackaging,packaging: retail packaging,packaging,retail packaging,packaging,,
spec_size_16gb,size: 16gb,size,16gb,size,16.0,gb
spec_manufacturer_part_number_mlm32lla,manufacturer part number: mlm32ll/a,manufacturer_part_number,mlm32ll/a,manufacturer part number,,
spec_maximum_weight_recommendation_25pounds,maximum weight recommendation: 25 pounds,maximum_weight_recommendation,25 pounds,maximum weight recommendation,25.0,lb
spec_package_dimensions_65x65x39inches,package dimensions: 6.5 x 6.5 x 3.9 inches,package_dimensions,6.5 x 6.5 x 3.9 inches,package dimensions,,
spec_os_windows,os: windows,os,windows,os,,
spec_best_sellers_rank_amazonrenewed32791climatepledgefriendlyelectronics8948,"best sellers rank: {'amazon renewed': 32791, 'climate pledge friendly: electronics': 8948}",best_sellers_rank,"{'amazon renewed': 32791, 'climate pledge friendly: electronics': 8948}",best sellers rank,,
spec_standing_screen_display_size_61inches,standing screen display size: 6.1 inches,standing_screen_display_size,6.1 inches,standing screen display size,6.1,inch
spec_standing_screen_display_size_18inches,standing screen display size: 1.8 inches,standing_screen_display_size,1.8 inches,standing screen display size,1.8,inch
spec_battery_life_9hours,battery life: 9 hours,battery_life,9 hours,battery life,9.0,h
spec_included_components_headphoneswithrubberearbudswarranty,"included components: headphones with rubber earbuds, warranty",included_components,"headphones with rubber earbuds, warranty",included components,,
spec_standing_screen_display_size_67inches,standing screen display size: 6.7 inches,standing_screen_display_size,6.7 inches,standing screen display size,6.7,inch
spec_package_dimensions_701x634x197inches,package dimensions: 7.01 x 6.34 x 1.97 inches,package_dimensions,7.01 x 6.34 x 1.97 inches,package dimensions,,
spec_best_sellers_rank_amazonrenewed22376climatepledgefriendlyelectronics7608,"best sellers rank: {'amazon renewed': 22376, 'climate pledge friendly: electronics': 7608}",best_sellers_rank,"{'amazon renewed': 22376, 'climate pledge friendly: electronics': 7608}",best sellers rank,,
spec_os_android7,os: android 7,os,android 7,os,,
spec_weight_233grams,weight: 233 grams,weight,233 grams,weight,233.0,g
spec_charging_time_59minutes,charging time: 59 minutes,charging_time,59 minutes,charging time,,
spec_weight_021kilograms,weight: 0.21 kilograms,weight,0.21 kilograms,weight,0.21,kg
spec_charging_time_2hours,charging time: 2 hours,charging_time,2 hours,charging time,2.0,h
spec_best_sellers_rank_amazonrenewed8395climatepledgefriendlyelectronics4697,"best sellers rank: {'amazon renewed': 8395, 'climate pledge friendly: electronics': 4697}",best_sellers_rank,"{'amazon renewed': 8395, 'climate pledge friendly: electronics': 4697}",best sellers rank,,
spec_special_features_sensorsaccelerometergyroproximitycompassbarometer,"special features: sensors accelerometer, gyro, proximity, compass, barometer",special_features,"sensors accelerometer, gyro, proximity, compass, barometer",special features,,
spec_weight_1182ounces,weight: 11.82 ounces,weight,11.82 ounces,weight,11.82,oz
spec_item_dimensions_lxwxh_866x102x941inches,item dimensions lxwxh: 8.66 x 10.2 x 9.41 inches,item_dimensions_lxwxh,8.66 x 10.2 x 9.41 inches,item dimensions lxwxh,,
spec_caller_identification_yes,caller identification: yes,caller_identification,yes,caller identification,,
spec_package_dimensions_559x315x098inches,package dimensions: 5.59 x 3.15 x 0.98 inches,package_dimensions,5.59 x 3.15 x 0.98 inches,package dimensions,,
spec_battery_power_rating_800,battery power rating: 800,battery_power_rating,800,battery power rating,,
spec_standing_screen_display_size_25inches,standing screen display size: 2.5 inches,standing_screen_display_size,2.5 inches,standing screen display size,2.5,inch
spec_battery_capacity_600milliamphours,battery capacity: 600 milliamp hours,battery_capacity,600 milliamp hours,battery capacity,,
spec_weight_004ounces,weight: 0.04 ounces,weight,0.04 ounces,weight,0.04,oz
spec_standing_screen_display_size_55,standing screen display size: 5.5,standing_screen_display_size,5.5,standing screen display size,,
spec_weight_038pounds,weight: 0.38 pounds,weight,0.38 pounds,weight,0.38,lb
spec_standing_screen_display_size_55inches,standing screen display size: 5.5 inches,standing_screen_display_size,5.5 inches,standing screen display size,5.5,inch
spec_package_dimensions_8x41x21inches,package dimensions: 8 x 4.1 x 2.1 inches,package_dimensions,8 x 4.1 x 2.1 inches,package dimensions,,
spec_special_features_dualcamerasmartphonebuiltingpsexpandablememory,"special features: dual-camera, smartphone, built-in-gps, expandable-memory",special_features,"dual-camera, smartphone, built-in-gps, expandable-memory",special features,,
